Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source
2021-04-06 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,196.20,221.15,75.52,72.41,spp.org; eia.gov
2021-04-07 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,218.55,244.41,73.00,70.08,spp.org; eia.gov
2021-04-08 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,305.41,338.83,61.14,58.20,spp.org; eia.gov
2021-04-09 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,372.44,411.14,52.32,49.17,spp.org; eia.gov
2021-04-10 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,308.40,340.88,61.44,57.92,spp.org; eia.gov
2021-04-11 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,344.02,380.32,56.19,52.83,spp.org; eia.gov
2021-04-12 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,245.49,276.91,67.56,64.29,spp.org; eia.gov
2021-04-13 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,353.82,390.83,54.83,51.56,spp.org; eia.gov
2021-04-14 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,470.21,512.50,41.57,38.28,spp.org; eia.gov
2021-04-15 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,552.19,603.61,29.29,26.10,spp.org; eia.gov
2021-04-16 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,522.67,569.75,34.31,31.25,spp.org; eia.gov
2021-04-17 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,380.34,415.92,53.18,49.89,spp.org; eia.gov
2021-04-18 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,518.73,570.22,32.32,28.64,spp.org; eia.gov
2021-04-19 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,372.88,419.71,47.98,44.12,spp.org; eia.gov
2021-04-20 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,319.19,353.91,59.11,56.17,spp.org; eia.gov
2021-04-21 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,496.58,553.67,31.29,27.96,spp.org; eia.gov
2021-04-22 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,341.27,379.74,55.14,52.06,spp.org; eia.gov
2021-04-23 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,386.40,430.89,47.91,44.61,spp.org; eia.gov
2021-04-24 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,417.88,463.56,44.42,41.07,spp.org; eia.gov
2021-04-25 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,203.43,235.36,70.95,67.75,spp.org; eia.gov
2021-04-26 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,174.36,206.72,73.41,70.22,spp.org; eia.gov
2021-04-27 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,226.79,265.86,65.08,62.07,spp.org; eia.gov
2021-04-28 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,348.05,397.52,48.66,45.62,spp.org; eia.gov
2021-04-29 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,290.63,326.76,60.93,58.00,spp.org; eia.gov
2021-04-30 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,476.70,535.63,32.11,28.82,spp.org; eia.gov
2021-05-01 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,302.10,340.59,58.70,55.52,spp.org; eia.gov
2021-05-02 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,289.47,321.12,63.52,60.57,spp.org; eia.gov
2021-05-03 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,253.57,286.21,66.14,63.34,spp.org; eia.gov
2021-05-04 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,312.14,347.71,59.40,56.30,spp.org; eia.gov
2021-05-05 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,508.06,555.25,35.56,32.51,spp.org; eia.gov
2021-05-06 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,454.75,503.55,39.51,36.35,spp.org; eia.gov
2021-05-07 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,311.68,344.30,61.00,58.10,spp.org; eia.gov
2021-05-08 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,189.56,214.73,75.93,73.77,spp.org; eia.gov
2021-05-09 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,231.99,261.98,69.62,66.23,spp.org; eia.gov
2021-05-10 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,485.80,533.63,37.18,34.19,spp.org; eia.gov
2021-05-11 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,477.87,522.49,39.62,36.61,spp.org; eia.gov
2021-05-12 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,543.07,594.68,30.00,26.92,spp.org; eia.gov
2021-05-13 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,478.48,526.86,37.52,34.44,spp.org; eia.gov
2021-05-14 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,309.63,341.30,61.73,58.59,spp.org; eia.gov
2021-05-15 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,397.53,436.38,49.93,46.78,spp.org; eia.gov
2021-05-16 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,407.08,447.28,48.35,43.93,spp.org; eia.gov
2021-05-17 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,519.21,567.13,34.20,28.28,spp.org; eia.gov
2021-05-18 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,500.97,547.99,36.29,29.52,spp.org; eia.gov
2021-05-19 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,521.83,570.65,33.41,26.26,spp.org; eia.gov
2021-05-20 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,386.63,424.27,51.58,44.47,spp.org; eia.gov
2021-05-21 00:00:00,USA,Southwest Power Pool,US-CENT-SWPP,234.28,263.20,69.91,63.09,spp.org; eia.gov
